Key,en,es,ar,fr
User Notifications,User Notifications,Notificaciones de usuario,إشعارات المستخدم,Notifications utilisateur
User Profile,User Profile,Perfil del usuario,ملف تعريفي للمستخدم,Profil de l'utilisateur
Profile successfully updated!,Profile successfully updated!,Perfil actualizado con éxito!,تم تحديث الملف الشخصي بنجاح!,Profil a réussi à mettre à jour!
Can't transfer/request to your own,Can't transfer/request to your own,No se puede transferir/solicitar a su cuenta,لا يمكنك نقل/طلب خاصتك,Impossible de transférer / demander à vous
Default currency not found,Default currency not found,Moneda predeterminada no encontrada,لم يتم العثور على العملة الافتراضية,Devise par défaut introuvable
Receiver not exist,Receiver not exist,El receptor no existe,المتلقي غير موجود,Le récepteur n'existe pas
Receiver wallet not found,Receiver wallet not found,Billetera receptor no encontrada,لم يتم العثور على محفظة جهاز الاستقبال,Portefeuille récepteur introuvable
Make Payment successful to,Make Payment successful to,Hacer que el pago sea exitoso a,جعل الدفع ناجحا ل,Faire du paiement réussi à
Payment To,Payment To,Pago Para,دفع ل,Paiement à
Make Payment to ,Make Payment to ,Hacer el pago a,إجراء الدفع إلى,Effectuer un paiement à
Payment From,Payment From,Pago de,الدفع من,Paiement de
Make Payment From,Make Payment From,Hacer el pago de,قم بالدفع من,Effectuer le paiement de
Merchant not found,Merchant not found,Comerciante no encontrado,التاجر لم يتم العثور عليه,Marchand non trouvé
Make Payment Information,Make Payment Information,Hacer información de pago,إجراء معلومات الدفع,Faire des informations de paiement
Valid merchant for transaction.,Valid merchant for transaction.,Comerciante válido para la transacción.,تاجر صالح للمعاملة.,Marchand valide pour la transaction.
QR Scan Result.,QR Scan Result.,Resultado de escaneo QR.,نتيجة فحص QR.,Résultat du scan QR.
Mobile Top Up Information,Mobile Top Up Information,Información móvil de recarga,قم بتصنيف الهاتف المحمول,Informations sur les mobiles
Mobile topup request send to admin successful,Mobile topup request send to admin successful,Solicitud de topup móvil Enviar al administrador exitoso,طلب TOPUP للهاتف المحمول إرسال إلى المسؤول ناجح,Demande de topup mobile Envoyer à l'administrateur réussi
Invalid type,Invalid type,Tipo no válido,نوع غير صالح,Type non valide
Withdraw Money,Withdraw Money,Retirar dinero,سحب المال,Retirer de l'argent
Withdraw Via,Withdraw Via,Retirarse a través de,انسحب عبر,Se retirer par
Withdraw money request send to admin successful,Withdraw money request send to admin successful,Retirar la solicitud de dinero Enviar al administrador exitoso,سحب طلب المال إرسال إلى المسؤول ناجح,Retirer la demande d'argent Envoyer à l'administrateur réussi
Withdraw money request send successful,Withdraw money request send successful,Retirar la solicitud de dinero enviar exitoso,سحب طلب المال إرسال ناجح,Retirer de l'argent demande Envoyer un succès
"Invalid request,please try again later","Invalid request,please try again later","Solicitud no válida, intente nuevamente más tarde",طلب غير صالح ، يرجى المحاولة مرة أخرى لاحقًا,"Demande non valide, veuillez réessayer plus tard"
Your Withdraw Request,Your Withdraw Request,Su solicitud de retiro,طلب السحب الخاص بك,Votre demande de retrait
Withdraw Request,Withdraw Request,Petición de retiro,طلب سحب,Retirer la demande
Withdraw Information!,Withdraw Information!,¡Retirar información!,سحب المعلومات!,Retirer des informations!
Withdraw Money Inserted Successfully,Withdraw Money Inserted Successfully,Retirar dinero insertado con éxito,سحب الأموال المدرجة بنجاح,Retirer de l'argent inséré avec succès
"Sorry, your payment information is invalid","Sorry, your payment information is invalid","Lo siento, su información de pago no es válida",آسف ، معلومات الدفع الخاصة بك غير صالحة,"Désolé, vos informations de paiement ne sont pas valides"
"Invalid request, it is not manual gateway request","Invalid request, it is not manual gateway request","Solicitud no válida, no es una solicitud de puerta de enlace manual",طلب غير صالح ، إنه ليس طلب بوابة يدوي,"Demande non valide, ce n'est pas une demande de passerelle manuelle"
"Invalid request, it is not automatic gateway request","Invalid request, it is not automatic gateway request","Solicitud no válida, no es una solicitud de puerta de enlace automática",طلب غير صالح ، إنه ليس طلب بوابة تلقائي,"Demande non valide, ce n'est pas une demande de passerelle automatique"
Withdraw Request Send ,Withdraw Request Send ,Retirar solicitud de solicitud,سحب طلب إرسال,Retirer la demande d'envoi
"Sorry, This Payment Request Is Not For FlutterWave","Sorry, This Payment Request Is Not For FlutterWave","Lo siento, esta solicitud de pago no es para Flutterwave",آسف ، طلب الدفع هذا ليس ل flutterwave,"Désolé, cette demande de paiement n'est pas pour Flutterswave"
All Bank Fetch Successfully,All Bank Fetch Successfully,Todos los bancos obtienen con éxito,جميع بنك البنك بنجاح,Toute la banque va chercher avec succès
Payment Links,Payment Links,Enlaces de pago,روابط الدفع,Liens de paiement
Payment Link Create,Payment Link Create,Enlace de pago Crear,إنشاء رابط الدفع,Lien de paiement Créer
"Unable to connect with API, Please Contact Support!!","Unable to connect with API, Please Contact Support!!","¡No se puede conectar con API, comuníquese con el soporte!",غير قادر على التواصل مع API ، يرجى الاتصال بالدعم !!,"Impossible de se connecter avec l'API, veuillez contacter l'assistance !!"
Payment Link Updated Successful,Payment Link Updated Successful,Enlace de pago actualizado exitoso,تم تحديث رابط الدفع الناجح,Lien de paiement mis à jour réussi
Payment Link Status Updated Successful,Payment Link Status Updated Successful,Estado del enlace de pago actualizado exitoso,تم تحديث حالة ارتباط الدفع الناجح,Statut de lien de paiement mis à jour réussi
Link Share,Link Share,Compartir en enlace,حصة الارتباط,Partage de liaison
Invalid Payment Link,Invalid Payment Link,Enlace de pago no válido,رابط دفع غير صالح,Lien de paiement non valide
"Can Not Payment Now, Please Contact Support","Can Not Payment Now, Please Contact Support","No puede pagar ahora, comuníquese con el soporte",لا يمكن الدفع الآن ، يرجى الاتصال بالدعم,"Impossible de payer maintenant, veuillez contacter l'assistance"
Payment Link,Payment Link,Enlace de pago,رابط الدفع,Lien de paiement
Please Enter A Valid Amount,Please Enter A Valid Amount,Ingrese una cantidad válida,يرجى إدخال مبلغ صالح,Veuillez saisir un montant valide
Receiver currency not found!,Receiver currency not found!,¡Moneda receptor no encontrada!,عملة المتلقي لم يتم العثور عليها!,Devise du récepteur introuvable!
"Transaction Failed, Please Contact With Support!","Transaction Failed, Please Contact With Support!","Falló la transacción, comuníquese con el soporte!",فشل المعاملة ، يرجى الاتصال بالدعم!,"La transaction a échoué, veuillez contacter avec l'assistance!"
Transaction Successful,Transaction Successful,Transacción exitosa,عملية ناجحة,Transaction réussie
Data Fetch Successful,Data Fetch Successful,Data obtenga exitosa,جلب البيانات ناجحة,Les données sont réussies
"Invalid Request,PayLink Data Not Found!","Invalid Request,PayLink Data Not Found!","Solicitud no válida, ¡datos de PayLink no encontrados!",طلب غير صالح ، لم يتم العثور على بيانات الرابط!,"Demande non valide, données PayLink introuvables!"
All Recipient,All Recipient,Todo destinatario,كل المستلم,Tous les destinataires
Add Recipient,Add Recipient,Agregar destinatario,إضافة المستلم,Ajouter un destinataire
"Can't send remittance to your own""","Can't send remittance to your own""","No puedo enviar remesas a la tuya ""","لا يمكنك إرسال تحويلات إلى الخاصة بك ""","Impossible d'envoyer des envois de fonds à votre propre """
This recipient  already exist.,This recipient  already exist.,Este destinatario ya existe.,هذا المستلم موجود بالفعل.,Ce destinataire existe déjà.
Please select a valid country,Please select a valid country,Seleccione un país válido,الرجاء تحديد بلد صالح,Veuillez sélectionner un pays valide
Please select a valid bank,Please select a valid bank,Seleccione un banco válido,الرجاء تحديد بنك ساري المفعول,Veuillez sélectionner une banque valide
Please select a valid cash picku,Please select a valid cash picku,Seleccione un Picku de efectivo válido,الرجاء تحديد اختيار نقدي صالح,Veuillez sélectionner un choix en espèces valide
User not found,User not found,Usuario no encontrado,لم يتم العثور على المستخدم,Utilisateur non trouvé
Receipient save successfully,Receipient save successfully,Guardar por recibir con éxito,استلام حفظ بنجاح,Sauver le détendu avec succès
Edit Recipient,Edit Recipient,Editar destinatario,تحرير المستلم,Modifier le destinataire
Receipient updated successfully,Receipient updated successfully,Recibido actualizado con éxito,تم تحديث الإيصالات بنجاح,Repensé mis à jour avec succès
Receipient deleted successfully!,Receipient deleted successfully!,¡Recibido eliminado con éxito!,تم حذف الإيصال بنجاح!,Support supprimé avec succès!
Oops! Data not found or section is under maintenance,Oops! Data not found or section is under maintenance,¡Ups! Los datos no se encuentran o la sección está en mantenimiento,أُووبس! البيانات غير الموجودة أو القسم تحت الصيانة,Oops! Les données introuvables ou la section sont sous maintenance
Save Recipient Information,Save Recipient Information,Guardar información del destinatario,حفظ معلومات المستلم,Enregistrer les informations du destinataire
Recipient Store/Update Fields Name,Recipient Store/Update Fields Name,Nombre de los campos de la tienda del destinatario/actualización,اسم المتجر/التحديث اسم الحقول,Nom des champs de magasin / mise à jour du destinataire
This User Country doesn't match with default currency country!,This User Country doesn't match with default currency country!,¡Este país de usuario no coincide con el país de divisas predeterminado!,لا يتطابق بلد المستخدم مع بلد العملة الافتراضي!,Ce pays utilisateur ne correspond pas au pays de la devise par défaut!
Successfully get user,Successfully get user,Obtener un usuario con éxito,الحصول على المستخدم بنجاح,Obtenez avec succès l'utilisateur
"Invalid request, recipient not found!","Invalid request, recipient not found!","Solicitud no válida, destinatario no encontrado!",طلب غير صالح ، مستلم لم يتم العثور عليه!,"Demande non valide, destinataire introuvable!"
Successfully get recipient,Successfully get recipient,Obtenga con éxito destinatario,الحصول على المستلم بنجاح,Obtenez avec succès le destinataire
Receiver country not found,Receiver country not found,País receptor no encontrado,لم يتم العثور على بلد المتلقي,Pays du récepteur introuvable
Recipient is invalid,Recipient is invalid,El destinatario no es válido,المستلم غير صالح,Le destinataire n'est pas valide
Remittance Money send successfully,Remittance Money send successfully,Remesas dinero enviar con éxito,المال التحويلات إرسال بنجاح,L'argent des envois de fonds envoie avec succès
Send Remittance,Send Remittance,Enviar remesas,إرسال التحويلات,Envoyer des fonds
Send Remittance From,Send Remittance From,Enviar remesas desde,إرسال تحويلات من,Envoyer des fonds
Remittance Information,Remittance Information,Información de remesas,معلومات الحوالة المالية,Renseignements sur les remises
Successfully got recipient,Successfully got recipient,Recibí con éxito el destinatario,حصلت بنجاح على المستلم,A réussi à recevoir
From country is not a valid country,From country is not a valid country,Del país no es un país válido,من البلد ليس دولة صالحة,Du pays n'est pas un pays valide
Can't Request Money To Your Own,Can't Request Money To Your Own,No puedo solicitar dinero al suyo,لا يمكنك طلب المال لك,Impossible de demander de l'argent à la vôtre
Your wallet isn't available with currency,Your wallet isn't available with currency,El receptor no existe o el receptor está prohibido temporalmente,محفظتك غير متوفرة بالعملة,Votre portefeuille n'est pas disponible avec la devise
Receiver doesn't exists or Receiver is temporary banned,Receiver doesn't exists or Receiver is temporary banned,,لا يوجد جهاز الاستقبال أو أن المتلقي محظور مؤقت,Le récepteur n'existe pas ou le récepteur est interdit temporaire
Your Wallet Balance Is Insufficient,Your Wallet Balance Is Insufficient,El equilibrio de su billetera es insuficiente,توازن محفظتك غير كافٍ,Votre équilibre de portefeuille est insuffisant
Request Money to ,Request Money to ,Solicitar dinero a,طلب المال ل,Demander de l'argent à
Request Money Send To,Request Money Send To,Solicitar dinero envío a,طلب المال إرسال إلى,Demander de l'argent envoyé à
Request Money from,Request Money from,Solicitar dinero de,طلب المال من,Demander de l'argent à
Request Money Logs,Request Money Logs,Solicitar registros de dinero,طلب سجلات المال,Demander des journaux d'argent
Sender wallet isn't available with currency,Sender wallet isn't available with currency,La billetera de remitente no está disponible con moneda,محفظة المرسل غير متوفرة بالعملة,Le portefeuille de l'expéditeur n'est pas disponible avec la devise
Receiver wallet isn't available with currency,Receiver wallet isn't available with currency,La billetera receptor no está disponible con moneda,محفظة المتلقي غير متوفرة بالعملة,Le portefeuille du récepteur n'est pas disponible avec devise
Request approved Successfully!,Request approved Successfully!,¡Solicite aprobado con éxito!,طلب الموافقة بنجاح!,Demandez avec succès approuvé!
Money Request Rejected Successfully!,Money Request Rejected Successfully!,Solicitud de dinero rechazada con éxito!,طلب المال رفض بنجاح!,Demande d'argent rejetée avec succès!
Request Money Information,Request Money Information,Solicitar información sobre dinero,طلب معلومات المال,Demander des informations d'argent
Invalid User,Invalid User,Usuario invalido,مستخدم غير صالح,Utilisateur invalide
Valid User For Request Money.,Valid User For Request Money.,Usuario válido para el dinero de la solicitud.,مستخدم صالح لطلب المال.,Utilisateur valide pour la demande d'argent.
Request Money Transactions,Request Money Transactions,Solicitar transacciones de dinero,طلب معاملات المال,Demander des transactions en argent
Invalid Transaction Id,Invalid Transaction Id,ID de transacción no válida,معرف المعاملة غير صالح,ID de transaction non valide
Security Setting Updated Successfully!,Security Setting Updated Successfully!,Configuración de seguridad actualizada con éxito!,تم تحديث إعداد الأمان بنجاح!,Paramètres de sécurité mis à jour avec succès!
Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator is a product based authenticator by Google that executes two-venture confirmation administrations for verifying clients of any programming applications,Google Authenticator es un autenticador basado en productos de Google que ejecuta administraciones de confirmación de dos ventas para verificar a los clientes de cualquier aplicación de programación,Google Authenticator هو مصادقة قائمة على المنتج من قبل Google والتي تنفذ إدارات تأكيد ثنائية المشاريع للتحقق من العملاء من أي تطبيقات برمجة,Google Authenticator est un authentificateur basé sur les produits de Google qui exécute des administrations de confirmation à deux ventes pour vérifier les clients de toute application de programmation
Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,Don't forget to add this application in your google authentication app. Otherwise you can't login in your account.,"No olvide agregar esta aplicación en su aplicación de autenticación de Google. De lo contrario, no puede iniciar sesión en su cuenta.",لا تنس إضافة هذا التطبيق في تطبيق مصادقة Google الخاص بك. وإلا لا يمكنك تسجيل الدخول في حسابك.,"N'oubliez pas d'ajouter cette application dans votre application Google Authentication. Sinon, vous ne pouvez pas vous connecter dans votre compte."
Your account secure with google 2FA,Your account secure with google 2FA,Su cuenta segura con Google 2FA,حسابك آمن مع Google 2FA,Votre compte sécurisé avec Google 2FA
To enable two factor authentication (powered by google) please visit your web dashboard. Click here:,To enable two factor authentication (powered by google) please visit your web dashboard. Click here:,"Para habilitar la autenticación de dos factores (alimentado por Google), visite su tablero web. Haga clic aquí:",لتمكين مصادقة عاملين (مدعوم من Google) ، يرجى زيارة لوحة معلومات الويب الخاصة بك. انقر هنا:,"Pour activer l'authentification à deux facteurs (alimentée par Google), veuillez visiter votre tableau de bord Web. Cliquez ici:"
Request response fetch successfully!,Request response fetch successfully!,¡Solicite la respuesta de respuesta con éxito!,طلب استجابة جلب بنجاح!,Demandez la réponse récupérer avec succès!
Google 2FA successfully verified!,Google 2FA successfully verified!,Google 2FA Verificado con éxito!,تم التحقق من Google 2FA بنجاح!,Google 2FA a vérifié avec succès!
Invalid authentication code,Invalid authentication code,Google 2FA Verificado con éxito!,تم التحقق من Google 2FA بنجاح!,Google 2FA a vérifié avec succès!
Can't send money to your own,Can't send money to your own,No puedo enviar dinero a la tuya,لا يمكنك إرسال أموال إلى بنفسك,Impossible d'envoyer de l'argent à la vôtre
Send Money successful to,Send Money successful to,Enviar dinero exitoso a,إرسال أموال ناجحة إلى,Envoyer de l'argent réussi à
Transfer Money to,Transfer Money to,Transferir dinero a,تحويل الأموال إلى,Transférer de l'argent à
Transfer Money Send To,Transfer Money Send To,Transferir dinero envío a,تحويل الأموال إرسال إلى,Transférer de l'argent envoyé à
Transfer Money from,Transfer Money from,Transferir dinero de,تحويل الأموال من,Transférer de l'argent de
Transfer Money Received From,Transfer Money Received From,Transferir dinero recibido de,تحويل الأموال المستلمة من,Transférer de l'argent reçu de
Send Money Information,Send Money Information,Enviar información sobre dinero,إرسال معلومات المال,Envoyer des informations d'argent
Valid user for transaction.,Valid user for transaction.,Usuario válido para la transacción.,مستخدم صالح للمعاملة.,Utilisateur valide pour la transaction.
Virtual Card Transaction,Virtual Card Transaction,Transacción de tarjeta virtual,معاملة البطاقة الافتراضية,Transaction de carte virtuelle
Something is wrong in your card,Something is wrong in your card,Algo anda mal en tu tarjeta,هناك خطأ ما في بطاقتك,Quelque chose ne va pas dans votre carte
Card Inactive Successfully,Card Inactive Successfully,Tarjeta inactiva con éxito,بطاقة غير نشطة بنجاح,Carte inactive avec succès
Card Active Successfully,Card Active Successfully,Tarjeta activa con éxito,بطاقة نشطة بنجاح,Carte active avec succès
Status Updated Successfully!,Status Updated Successfully!,Estado actualizado con éxito!,تم تحديث الحالة بنجاح!,Statut mis à jour avec succès!
Virtual Card Buy Successfully,Virtual Card Buy Successfully,Tarjeta virtual Comprar con éxito,بطاقة الافتراضية شراء بنجاح,Carte virtuelle Acheter avec succès
Buy card successful,Buy card successful,Comprar tarjeta exitosa,شراء بطاقة ناجحة,Acheter la carte réussie
Virtual Card Stripe,Virtual Card Stripe,Franja de tarjeta virtual,شريط البطاقة الافتراضية,Stripe de carte virtuelle
Virtual Card Sensitive Data,Virtual Card Sensitive Data,Datos sensibles a la tarjeta virtual,بيانات حساسة البطاقة الافتراضية,Données sensibles à la carte virtuelle
"Sorry,This Card Is Already Inactive","Sorry,This Card Is Already Inactive","Lo siento, esta tarjeta ya está inactiva",آسف ، هذه البطاقة غير نشطة بالفعل,"Désolé, cette carte est déjà inactive"
"Sorry,This Card Is Already Active","Sorry,This Card Is Already Active","Lo siento, esta tarjeta ya está activa",آسف ، هذه البطاقة نشطة بالفعل,"Désolé, cette carte est déjà active"
Card block successfully,Card block successfully,Bloque de tarjetas con éxito,كتلة البطاقة بنجاح,Bloc de carte avec succès
Card unblock successfully,Card unblock successfully,Desbloqueo de la tarjeta con éxito,بطاقة إلغاء الحظر بنجاح,Carte débloquer avec succès
"Currency doesn't supported for creating virtual card, Please contact","Currency doesn't supported for creating virtual card, Please contact","La moneda no es compatible con la creación de una tarjeta virtual, comuníquese con",العملة لا تدعم لإنشاء بطاقة افتراضية ، يرجى الاتصال,"La devise n'est pas prise en charge pour créer une carte virtuelle, veuillez contacter"
"Customer doesn't created properly,Contact with owner","Customer doesn't created properly,Contact with owner","El cliente no creó correctamente, contacte con el propietario",لا يتم إنشاء العميل بشكل صحيح ، اتصل بالمالك,"Le client n'est pas créé correctement, contact avec le propriétaire"
Virtual Card Sudo,Virtual Card Sudo,Tarjeta virtual sudo,بطاقة افتراضية سودو,Carte virtuelle sudo
Fess & Charges,Fess & Charges,Fess y cargos,FESS & رسوم,Fesse et charges
"Sorry,This Card Is Already Blocked","Sorry,This Card Is Already Blocked","Lo siento, esta tarjeta ya está bloqueada",آسف ، هذه البطاقة محظورة بالفعل,"Désolé, cette carte est déjà bloquée"
"Sorry,This Card Is Already Unblocked","Sorry,This Card Is Already Unblocked","Lo siento, esta tarjeta ya está desbloqueada",آسف ، هذه البطاقة غير محظورة بالفعل,"Désolé, cette carte est déjà débloquée"
Sorry! You can not create more than,Sorry! You can not create more than,¡Lo siento! No puedes crear más de,آسف! لا يمكنك إنشاء أكثر من,Désolé! Vous ne pouvez pas créer plus que
card using the same email address.,card using the same email address.,Tarjeta que usa la misma dirección de correo electrónico.,بطاقة باستخدام نفس عنوان البريد الإلكتروني.,carte en utilisant la même adresse e-mail.
Card Freeze successfully,Card Freeze successfully,Congelamiento de tarjetas con éxito,تجميد البطاقة بنجاح,CONGÉRATION DES CARTES
Card UnFreeze successfully,Card UnFreeze successfully,Desengalencia de la tarjeta con éxito,بطاقة unfredeze بنجاح,Carte Dégelé avec succès
Card Funded Successfully,Card Funded Successfully,Tarjeta financiada con éxito,تم تمويل البطاقة بنجاح,Carte financée avec succès
Please Contact With Administration,Please Contact With Administration,Póngase en contacto con la administración,يرجى الاتصال مع الإدارة,Veuillez contacter avec l'administration
Card Fund,Card Fund,Fondo,صندوق البطاقات,Fonds de carte
Card fund successful card,Card fund successful card,Tarjeta exitosa del fondo de la tarjeta,بطاقة البطاقات الناجحة,Carte Fund Carte réussie
"Sorry,This Card Is Already Freeze","Sorry,This Card Is Already Freeze","Lo siento, esta tarjeta ya está congelada",آسف ، هذه البطاقة تجميد بالفعل,"Désolé, cette carte est déjà congente"
"Sorry,This Card Is Already Unfreeze","Sorry,This Card Is Already Unfreeze","Lo siento, esta tarjeta ya no tiene ningún tipo",عذرًا ، هذه البطاقة غير متجانسة بالفعل,"Désolé, cette carte est déjà débordée"
Card has been blocked previously,Card has been blocked previously,La tarjeta ha sido bloqueada anteriormente,تم حظر البطاقة من قبل,La carte a été bloquée précédemment
This Card has been terminated previously,This Card has been terminated previously,Esta tarjeta ha sido terminado anteriormente,تم إنهاء هذه البطاقة من قبل,Cette carte a été résiliée précédemment
Card has been unblocked previously,Card has been unblocked previously,La tarjeta ha sido desbloqueada anteriormente,لقد تم إلغاء حظر البطاقة من قبل,La carte a été débloquée auparavant
Support Tickets,Support Tickets,Boletos de apoyo,تذاكر الدعم الفني,Billets de support
Support ticket created successfully!,Support ticket created successfully!,¡Ticket de apoyo creado con éxito!,تذكرة دعم تم إنشاؤها بنجاح!,Ticket de support créé avec succès!
SMS Sending failed! Please try again.,SMS Sending failed! Please try again.,¡SMS enviando fallado! Inténtalo de nuevo.,فشل إرسال الرسائل القصيرة! حاول مرة اخرى.,SMS Envoi a échoué! Veuillez réessayer.
User doesn't exists.,User doesn't exists.,El usuario no existe.,المستخدم لا يوجد.,L'utilisateur n'existe pas.
Time expired. Please try again,Time expired. Please try again,Tiempo expirado. Inténtalo de nuevo,انتهى الوقت. حاول مرة اخرى,Le temps est écoulé. Veuillez réessayer
"Your Verification is successful, Now you can recover your password","Your Verification is successful, Now you can recover your password","Su verificación es exitosa, ahora puede recuperar su contraseña",إن التحقق الخاص بك ناجح ، والآن يمكنك استعادة كلمة المرور الخاصة بك,"Votre vérification est réussie, vous pouvez maintenant récupérer votre mot de passe"
Password reset success. Please login with new password.,Password reset success. Please login with new password.,El éxito de restablecimiento de contraseña. Inicie sesión con una nueva contraseña.,إعادة تعيين كلمة المرور النجاح. يرجى تسجيل الدخول بكلمة مرور جديدة.,Réinitialisation du mot de passe Succès. Veuillez vous connecter avec un nouveau mot de passe.
Account Has been Suspended,Account Has been Suspended,Cuenta ha sido suspendida,تم تعليق حسابك,Le compte a été suspendu
Login Successful,Login Successful,Inicio de sesión correcto,تسجيل الدخول ناجح,Connexion réussie
Incorrect Password,Incorrect Password,Contraseña incorrecta,كلمة سر خاطئة,Mot de passe incorrect
Email address already exist,Email address already exist,La dirección de correo electrónico ya existe,عنوان البريد الإلكتروني موجود بالفعل,L'adresse e-mail existe déjà
Mobile number already exist,Mobile number already exist,El número de móvil ya existe,رقم الهاتف المحمول موجود بالفعل,Le numéro de mobile existe déjà
Registration Successful,Registration Successful,Registro exitoso,التسجيل ناجح,Inscription réussi
Mail Authorization,Mail Authorization,Autorización de correo,ترخيص البريد,Autorisation de courrier
Merchant doesn't exists.,Merchant doesn't exists.,El comerciante no existe.,التاجر لا يوجد.,Le marchand n'existe pas.
Verify Merchant,Verify Merchant,Verificar comerciante,تحقق من التاجر,Vérifiez le marchand
Merchant Registration,Merchant Registration,Registro comercial,تسجيل التاجر,Inscription au marchand
"Merchant already  exists, please try with another email","Merchant already  exists, please try with another email","El comerciante ya existe, intente con otro correo electrónico",التاجر موجود بالفعل ، يرجى المحاولة عبر بريد إلكتروني آخر,"Le commerçant existe déjà, veuillez essayer avec un autre e-mail"
Merchant Registration KYC,Merchant Registration KYC,Registro de comerciante KYC,تسجيل التاجر KYC,Enregistrement des marchands KYC
Merchant Dashboard,Merchant Dashboard,Tablero de mercancías,لوحة القيادة التجارية,Tableau de bord marchand
API Credentials,API Credentials,Credenciales de API,بيانات اعتماد API,Contaliens API
Developer API not found!,Developer API not found!,¡API de desarrollador no se encuentra!,لم يتم العثور على API مطور!,API du développeur n'est pas trouvé!
Developer API mode updated successfully!,Developer API mode updated successfully!,¡Modo API de desarrollador actualizado con éxito!,تم تحديث وضع API المطور بنجاح!,Le mode API du développeur a mis à jour avec succès!
Master/Visa card credentials updated successfully!,Master/Visa card credentials updated successfully!,¡Credenciales de tarjeta maestra/visa actualizadas con éxito!,تم تحديث بيانات اعتماد بطاقة Visa/Visa بنجاح!,Master / Visa Card Creenalals Mis à jour avec succès!
Your Withdraw Request Send To Admin,Your Withdraw Request Send To Admin,Su solicitud de retiro Enviar al administrador,طلب الانسحاب الخاص بك إرسال إلى المسؤول,Votre demande de retrait envoie à l'administrateur
Merchant Profile,Merchant Profile,Perfil de comerciante,ملف تعريف التاجر,Profil marchand
Requested credentials is invalid,Requested credentials is invalid,Las credenciales solicitadas no son válidas,بيانات الاعتماد المطلوبة غير صالحة,Les informations d'identification demandées sont invalides
Merchant doesn't exists or credentials is invalid,Merchant doesn\'t exists or credentials is invalid,El comerciante no existe o las credenciales no son válidas,التاجر لا يوجد أو بيانات اعتماد غير صالحة,Le marchand n'existe pas ou les informations d'identification sont invalides
Failed to create access token. Please try again,Failed to create access token. Please try again,No se pudo crear el token de acceso. Inténtalo de nuevo,فشل في إنشاء رمز الوصول. حاول مرة اخرى,Échec de la création de jeton d'accès. Veuillez réessayer
Access denied! Token not found,Access denied! Token not found,¡Acceso denegado! Token no encontrado,تم الرفض! رمز لم يتم العثور عليه,Accès refusé! Jeton introuvable
Requested with invalid token!,Requested with invalid token!,Solicitado con token inválido!,طلب مع رمز غير صالح!,Demandé avec un jeton invalide!
Failed to create payment! Please try again,Failed to create payment! Please try again,¡No se pudo crear el pago! Inténtalo de nuevo,فشل في إنشاء الدفع! حاول مرة اخرى,Échec de la création de paiement! Veuillez réessayer
Merchant does't exists,Merchant does't exists,El comerciante no existe,التاجر لا يوجد,Le commerçant n'existe pas
Requested with invalid credentials!,Requested with invalid credentials!,¡Solicitado con credenciales no válidas!,طلب مع أوراق اعتماد غير صالحة!,Demandé avec des informations d'identification non valides!
File Deleted Successfully!,File Deleted Successfully!,Archivo eliminado con éxito!,تم حذف الملف بنجاح!,Fichier supprimé avec succès!
Your Message Submitted,Your Message Submitted,Su mensaje enviado,أرسلت رسالتك,Votre message soumis
Your newsletter information submission successfully,Your newsletter information submission successfully,El envío de información de su boletín con éxito,تقديم معلومات الإخبارية الخاصة بك بنجاح,Votre soumission d'informations sur la newsletter avec succès
"Payment Successful, Please Go Back Your App","Payment Successful, Please Go Back Your App","Pago exitoso, vuelva a su aplicación",الدفع ناجحًا ، يرجى العودة إلى تطبيقك,"Paiement réussi, veuillez revenir en arrière votre application"
Merchant does not exist,Merchant does not exist,El comerciante no existe,التاجر غير موجود,Le commerçant n'existe pas
Merchant already exist,Merchant already exist,El comerciante ya existe,التاجر موجود بالفعل,Le commerçant existe déjà
"User already exist, please select another email address","User already exist, please select another email address","El usuario ya existe, seleccione otra dirección de correo electrónico",المستخدم موجود بالفعل ، يرجى تحديد عنوان بريد إلكتروني آخر,"L'utilisateur existe déjà, veuillez sélectionner une autre adresse e-mail"
"Now,You can register","Now,You can register",Ahora puedes registrarte,الآن ، يمكنك التسجيل,"Maintenant, vous pouvez vous inscrire"
Terms Of Use & Privacy Policy Field Is Required!,Terms Of Use & Privacy Policy Field Is Required!,¡Se requieren Términos de uso y campo de política de privacidad!,شروط الاستخدام والخصوصية حقل حقل!,Les conditions d'utilisation et le champ de politique de confidentialité sont requis!
Verification code is expired,Verification code is expired,El código de verificación ha caducado,رمز التحقق منتهي صلاحيتها,Le code de vérification est expiré
Verification is invalid,Verification is invalid,La verificación no es válida,التحقق غير صالح,La vérification n'est pas valide
"Merchant already exist, please select another email address","Merchant already exist, please select another email address","El comerciante ya existe, seleccione otra dirección de correo electrónico",تاجر موجود بالفعل ، يرجى تحديد عنوان بريد إلكتروني آخر,"Le commerçant existe déjà, veuillez sélectionner une autre adresse e-mail"
Merchant Notifications,Merchant Notifications,Notificaciones comerciales,الإخطارات التجارية,Notifications marchands
All Transactions,All Transactions,Todas las transacciones,كل الحركات المالية,toutes transactions
Status Change Successful,Status Change Successful,Cambio de estado exitoso,تغيير الحالة ناجح,Changement de statut réussi
